Values,API Name,
Problem logging in,Problem logging in,Problem bei der Anmeldung
Adjust my plan,Adjust my plan,Meinen Tarif anpassen
Adjust my plan (Corporate),Adjust my plan (Corporate),Meinen Tarif anpassen
Discounts/Coupons,Discounts/Coupons,Rabatte /Gutscheine 
Corporate rates,Corporate rates,Firmenkonditionen
Question about cancellation,Question about cancellation,Frage zur Kündigung
Payment/Invoices,Payment/Invoices,Zahlung / Rechnungen
Pause my membership,Pause my membership,Meine Mitgliedschaft pausieren
Update personal information,Update personal information,Persönliche Daten aktualisieren
My membership start date,My membership start date,Startdatum meiner Mitgliedschaft
I need to contact a department,I need to contact a department,Ich benötige Kontakt zu einer Abteilung
Data protection,Data protection,Datenschutz
Technical problems,Technical problems,Technische Probleme
Feedback about the app or website,Feedback about the app or website,Feedback zu App oder Webseite
I want to reactivate my membership,I want to reactivate my membership,Ich möchte meine Mitgliedschaft reaktivieren
Questions before logging in/becoming a member,Questions before logging in/becoming a member,Fragen vor der Anmeldung/ Mitglied werden
Cashback,Cashback,Cashback
Reservation problems,Reservation problems,Probleme bei der Reservierung
Live courses/Online courses,Live courses/Online courses,Live-Kurse / Online-Kurse
Information about a specific partner,Information about a specific partner,Informationen über einen bestimmten Partner
Find partners in our app,Find partners in our app,Partner in unserer App finden
Check-in management,Check-in management,Check-In Management 
Other,Other,Sonstiges
